timestamp,x,y,z
1582293935129137,7.5625,0.9375,11.875
1582293935144098,3.375,-2.3125,11.625
1582293935167035,1.5625,-3.5625,9.3125
1582293935189973,0.8125,-3.6875,6.625
1582293935204934,0.8125,-3.9375,4.125
1582293935226876,1.1875,-5,2.5
1582293935250814,0.8125,-6.0625,0.3125
1582293935265769,-0.75,-5.6875,-2.625
1582293935326649,-0.9375,-4.5625,-3.875
1582293935327606,-2,-4.3125,-4.5625
1582293935333866,-3.1875,-4.4375,-5.25
1582293935347740,-3.75,-4.3125,-4.9375
1582293935371487,-3.4375,-3.8125,-2.9375
1582293935385661,-1.625,-3.625,-1.9375
1582293935429373,0.0625,-4.5625,-1.6875
1582293935439345,1,-5.375,-0.1875
1582293935445292,2.125,-6.3125,0.9375
1582293935467268,2.875,-7.5,0.875
1582293935483189,2.9375,-8.8125,1.4375
1582293935513282,1.875,-9.75,1.8125
1582293935529070,-1.0625,-11,1.6875
1582293935551223,-2.9375,-11.3125,2.3125
1582293935580073,-1.5625,-10.8125,2.625
1582293935587916,-0.625,-9.375,1.875
1582293935611210,-0.625,-8.9375,0.6875
1582293935633847,-2.3125,-8.3125,-0.25
1582293935648089,2.4375,-6.3125,0.625
1582293935670888,-5.625,-5.5,-5.3125
1582293935693636,-7.25,-4.25,-5.5
1582293935707589,-8,-3,-4.8125
1582293935731552,-9.375,-1.625,-7.6875
1582293935753472,-7.0625,0.125,-8.3125
1582293935768426,-6.8125,1.5,-9.375
1582293935791366,-7.375,2.1875,-10.75
1582293935813735,-8.9375,2.5625,-11.4375
1582293935828268,-9.5625,3,-11.5
1582293935851262,-8.1875,3.1875,-11.1875
1582293935873381,-5.6875,2.3125,-11.6875
1582293935896141,-4.1875,1.75,-10.5625
1582293935919030,-2.875,1.375,-9.0625
1582293935940964,-2.25,0.375,-8.125
1582293935955926,-1.8125,-0.5625,-6.75
1582293935970884,-0.625,-0.75,-5.4375
1582293935993875,1.1875,-1.25,-4.5625
1582293936014994,3.5625,-3.625,-2.625
1582293936030921,1.3125,-3.1875,-5.5625
1582293936053881,-0.5625,-2.8125,-4
1582293936074929,3.8125,-1.75,-5.8125
1582293936091567,2.3125,-0.75,-5.625
1582293936113704,2.3125,-0.125,-5.0625
1582293936134653,3.375,-0.0625,-5.375
1582293936151410,3.5625,-0.5625,-4.625
1582293936173912,0.75,-0.5625,-3.1875
1582293936196283,2.25,-2.25,-1.8125
1582293936211246,3.8125,-4.3125,-1.875
1582293936233344,5.5625,-5.875,-1
1582293936255173,9.1875,-8.4375,2.5
1582293936271250,15.5,-11.5,7.125
1582293936294029,19.25,-12.9375,13.375
1582293936314967,20,-15.8125,19.8125
1582293936330926,22.4375,-16.9375,26.625
1582293936353916,16.625,-19.6875,29.625
1582293936374868,7.375,-22.9375,31.125
1582293936390761,6.4375,-27.375,32.625
1582293936419889,-2.625,-28.1875,30.625
1582293936436641,-7.5625,-28.875,28.9375
1582293936458862,-6.1875,-29.75,26.625
1582293936479995,-4.75,-28.25,20
1582293936496480,12.875,-25.4375,16.25
1582293936518422,19.875,-22.625,10.375
1582293936540181,24.4375,-17.125,5.3125
1582293936556534,21.8125,-10.6875,-0.125
1582293936578426,12.3125,-4.9375,-5.125
1582293936600283,1.8125,0.125,-9.125
1582293936616219,-3.75,4.25,-11.875
1582293936639309,-12.3125,7.1875,-16.875
1582293936660224,-21.9375,10.125,-18
1582293936675058,-24.9375,10.5,-17.6875
1582293936698958,-34.25,8.125,-19.375
1582293936719930,-31.875,10,-22.3125
1582293936735838,-25.5,11.75,-23.25
1582293936758785,-18.75,10.8125,-20.75
1582293936779777,-13.5625,9.0625,-16.1875
1582293936795679,-8.5625,8.3125,-12.5
1582293936801836,-4.5,7.875,-8.875
1582293936831631,-1.3125,6.5,-4.6875
1582293936846548,2.3125,4.5,-0.4375
1582293936863242,3.375,3.0625,3.4375
1582293936884448,4.5,1.875,6
1582293936909420,7.8125,0.625,7.625
1582293936921341,10.0625,-1.25,8.875
1582293936951393,10.25,-2.875,11.1875
1582293936966222,10.3125,-4.625,14.0625
1582293936981391,14.25,-8.25,18.125
1582293937004174,19.25,-12.125,23.3125
1582293937026115,25.0625,-15.25,31.125
1582293937043451,29.4375,-17.5,39.0625
1582293937064167,35.125,-19.375,49.75
1582293937086898,46.3125,-24.0625,50.75
1582293937101859,43.625,-22.25,52.9375
1582293937123807,30.8125,-20,56.875
1582293937146882,15.125,-22.375,60.625
1582293937161859,4.125,-22.6875,60.9375
1582293937183649,8.4375,-21.75,62.1875
1582293937206589,13.6875,-21.625,59.0625
1582293937221690,19.75,-21.375,54.8125
1582293937244537,21.9375,-21,49.0625
1582293937266420,23.25,-18.875,45.6875
1582293937289366,20.125,-17.625,39.6875
1582293937304539,17.6875,-15.1875,33
1582293937327256,10.375,-9.4375,28.375
1582293937341288,5.125,-3.25,23.1875
1582293937364198,2.4375,1.375,15.9375
1582293937386348,-2,4.1875,11
1582293937401097,-7.875,2.6875,8.5
1582293937424251,-11,0.125,6.4375
1582293937441949,-8.8125,-4.5,3.5625
1582293937463055,-2.25,-9.1875,2.3125
1582293937483845,4.125,-12.8125,1.0625
1582293937507781,5.0625,-15.25,1
1582293937523418,4.1875,-18.875,3.75
1582293937543679,6.25,-22.375,6.1875
1582293937566616,12.375,-22.625,10
1582293937582935,11.6875,-21.6875,11.25
1582293937604578,16.125,-17.0625,16.3125
1582293937626593,21.875,-19.1875,20.1875
1582293937643413,18.6875,-15.8125,21.125
1582293937664685,17.3125,-15.375,24.6875
1582293937686484,18.75,-14.125,27.375
1582293937703250,21.25,-13.8125,27.125
1582293937724258,20.0625,-15.5,28.3125
