timestamp,x,y,z
1582297428085858,0.0654297,0.77832,-0.617188
1582297428109800,-0.0195313,0.758789,-0.709961
1582297428125998,-0.0380859,0.789063,-0.678711
1582297428146724,0.0112305,0.789063,-0.583984
1582297428169635,0.0678711,0.812988,-0.483887
1582297428184594,0.0678711,0.757324,-0.430664
1582297428206619,0.102539,0.795898,-0.539063
1582297428252456,0.081543,0.797852,-0.556641
1582297428252456,0.112305,0.79248,-0.594238
1582297428267420,0.129395,0.757813,-0.552734
1582297428290487,0.108887,0.682617,-0.555664
1582297428305483,0.00732422,0.633301,-0.671387
1582297428335339,-0.0629883,0.455566,-0.618652
1582297428374087,0.0371094,0.272949,-0.550781
1582297428374087,0.165527,0.379395,-0.593262
1582297428387088,0.145508,0.621094,-0.286621
1582297428418027,0.015625,0.533691,-0.17627
1582297428424960,0.125488,1.71143,-0.745117
1582297428449886,0.838379,2.78271,-0.153809
1582297428469842,0.972656,1.55078,-0.937012
1582297428485794,1.08057,0.953613,-0.331055
1582297428508743,0.847168,0.665527,-0.190918
1582297428530672,0.865234,0.472656,-0.156738
1582297428545871,0.82373,0.331543,-0.156738
1582297428568580,0.853027,0.358887,-0.241211
1582297428590519,0.771484,0.574707,-0.275391
1582297428605528,0.772949,0.817871,-0.200195
1582297428628470,0.73291,0.949707,-0.138672
1582297428651348,0.63623,0.893066,-0.138672
1582297428665318,0.61084,0.719238,-0.0996094
1582297428694236,0.578613,0.668457,-0.078125
1582297428711193,0.57959,0.686523,-0.102539
1582297428725156,0.64502,0.72998,-0.106934
1582297428751203,0.686523,0.765137,-0.13623
1582297428764052,0.689453,0.757813,-0.165039
1582297428784998,0.739258,0.716797,-0.195313
1582297428807129,0.550781,0.762207,-0.362793
1582297428821314,0.958984,0.818359,0.505859
1582297428844830,1.11572,0.898926,0.119629
1582297428867204,0.574707,0.758789,-0.637207
1582297428880784,0.128418,0.609375,-0.803223
1582297428904866,0.357422,0.650879,-0.104004
1582297428926808,1.04443,0.827637,0.551758
1582297428941631,0.897461,0.790039,-0.208984
1582297428964659,0.665039,0.729004,-0.158691
1582297428987489,0.66748,0.723633,-0.142578
1582297429001612,0.645508,0.732422,-0.114258
1582297429024578,0.656738,0.736816,-0.114258
1582297429047492,0.666016,0.738281,-0.118164
1582297429061258,0.588867,0.757324,-0.259766
1582297429092241,1.17041,0.847168,0.290039
1582297429107299,0.245605,0.605957,-0.336914
1582297429121091,0.253418,0.691895,-0.191895
1582297429145027,0.720703,0.726074,-0.11084
1582297429167177,0.654785,0.735352,-0.130371
1582297429181930,0.652344,0.738281,-0.14209
1582297429204979,0.653809,0.73291,-0.13916
1582297429226988,0.662109,0.734863,-0.133789
1582297429241774,0.658691,0.741699,-0.121582
1582297429265152,0.660156,0.741699,-0.116699
1582297429286910,0.659668,0.73877,-0.121582
1582297429301751,0.657715,0.734375,-0.119629
1582297429324770,0.661621,0.736328,-0.118652
1582297429347033,0.660645,0.740723,-0.117676
1582297429362453,0.652832,0.742188,-0.133301
1582297429385440,0.653809,0.741699,-0.13623
1582297429407731,0.658203,0.737793,-0.124512
1582297429422694,0.657227,0.73877,-0.12207
1582297429446221,0.657227,0.743164,-0.126953
1582297429467234,0.655273,0.741699,-0.123535
1582297429483123,0.659668,0.742188,-0.121094
1582297429506128,0.654297,0.735352,-0.121094
1582297429534169,0.654297,0.749023,-0.120605
1582297429543157,0.661133,0.75,-0.124023
1582297429565948,0.662109,0.740723,-0.132813
1582297429587304,0.658203,0.73291,-0.12207
1582297429602865,0.647949,0.733887,-0.119629
1582297429625753,0.660645,0.741699,-0.116211
1582297429655669,0.680664,0.755859,-0.123047
1582297429670626,0.750977,0.840332,-0.154785
1582297429693562,0.770508,0.945801,-0.289551
1582297429715502,0.691406,0.961914,-0.322266
1582297429730463,0.798828,0.851074,-0.193359
1582297429753402,0.82373,0.803711,-0.160156
1582297429775703,0.402344,1.0332,-0.287598
1582297429804264,0.517578,1.1416,-0.21875
1582297429813908,0.410645,1.27881,-0.450195
1582297429836256,0.311035,1.12598,-0.678711
1582297429857122,0.266602,0.898438,-0.694824
1582297429873079,0.218262,0.914551,-0.702637
1582297429896147,0.222168,0.963379,-0.72168
1582297429917964,0.232422,0.945801,-0.650391
1582297429932973,0.210449,0.880371,-0.624023
1582297429955862,0.104004,0.888184,-0.624023
1582297429976853,-0.0102539,0.936035,-0.567383
1582297429993755,-0.0507813,0.951172,-0.442871
1582297430015705,-0.034668,1.05225,-0.467285
1582297430036796,-0.074707,1.17871,-0.428711
1582297430053597,-0.183594,1.12061,-0.423828
1582297430083515,-0.243164,1.0166,-0.469727
1582297430097487,-0.262207,0.859863,-0.354492
1582297430113504,-0.29541,0.654297,-0.185059
1582297430135379,-0.350586,0.737305,-0.155273
1582297430157317,-0.330078,0.813477,-0.132813
1582297430173354,-0.344727,0.745117,-0.128906
1582297430196224,-0.387207,0.56543,-0.0893555
1582297430217189,-0.388672,0.498047,-0.0112305
1582297430233506,-0.403809,0.528809,-0.00585938
1582297430256184,-0.40918,0.589844,0.0283203
1582297430276999,-0.450195,0.628906,0.0341797
1582297430294952,-0.510254,0.604492,0.0283203
1582297430316029,-0.584961,0.558105,0.050293
1582297430336838,-0.693359,0.539063,0.0224609
1582297430353614,-0.530762,0.544434,0.119629
1582297430375747,-1.17529,0.598145,-0.0805664
1582297430396681,-0.608398,0.610352,0.248535
1582297430413634,-0.23584,0.639648,0.313477
1582297430435830,-0.217773,0.640625,0.319824
1582297430456660,-0.817871,0.650391,-0.0566406
1582297430473769,-0.785156,0.624023,0.0117188
1582297430495413,-0.814941,0.655762,0.0161133
1582297430517412,-0.798828,0.681152,0.0244141
1582297430533371,-0.799316,0.683594,0.0297852
1582297430556254,-0.785645,0.669922,0.0219727
1582297430578197,-0.781738,0.664551,0.0283203
1582297430593332,-0.775879,0.665039,0.0126953
1582297430616091,-0.773438,0.661621,0.00634766
1582297430638233,-0.770508,0.665039,0.0146484
1582297430652992,-0.753418,0.662598,0.0175781
1582297430676153,-0.748535,0.650879,0.0166016
1582297430698087,-0.742188,0.654297,0.00146484
1582297430713032,-0.744141,0.651855,-0.000488281
1582297430735865,-0.755371,0.640137,-0.0185547
1582297430758716,-0.744141,0.638184,-0.0102539
1582297430772955,-0.734863,0.649414,0.00439453
1582297430796017,-0.731934,0.654297,0.00390625
1582297430801664,-0.734375,0.638184,-0.0161133
1582297430823735,-0.725098,0.635254,-0.0117188
1582297430840514,-0.700195,0.647949,0.0366211
1582297430861591,-1.04443,0.635254,0.0415039
1582297430883434,-0.855957,0.587402,0.0893555
1582297430900337,-1.06689,0.688477,-0.375977
1582297430921550,-0.475098,0.618652,0.285156
1582297430946764,-0.770508,0.72168,-0.231934
1582297430959175,-1.03906,0.568848,-0.0639648
