timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1582297428262386,-2,6,-26,-3,-1,-1,-7,-27
1582297428262386,10,-15,32,2,0,0,3,17
1582297428264419,-3,23,5,3,0,2,2,-6
1582297428264419,3,-12,-7,-1,-1,-1,-4,-45
1582297428264419,-2,2,1,0,-2,-1,3,51
1582297428264419,-22,-4,-17,-2,0,0,-7,-72
1582297428265920,16,-5,-1,-1,-1,-3,-3,2
1582297428265920,-5,-1,4,-2,1,1,3,11
1582297428268253,24,3,3,1,1,0,8,12
1582297428268253,-17,-2,-6,-1,1,0,-5,-44
1582297428281337,13,-8,3,-3,-2,-3,-19,20
1582297428281337,3,9,-6,-1,0,1,8,-4
1582297428292911,-21,-7,6,0,2,2,3,-43
1582297428292911,33,12,-13,-28,-7,-2,-9,32
1582297428296330,3,-11,-33,-26,-8,-8,-1,2
1582297428296330,-32,6,47,60,14,7,3,-7
1582297428311433,-29,-9,6,18,3,2,7,17
1582297428311433,39,-3,3,16,2,-1,-1,10
1582297428328213,-15,3,-18,-26,-6,-1,-1,67
1582297428328213,4,-2,-15,-21,-3,-7,-15,22
1582297428336189,-33,3,7,-1,-11,-2,-7,-22
1582297428336189,18,2,-5,-8,0,2,17,36
1582297428375091,26,15,2,4,1,3,6,0
1582297428375091,4,7,2,-1,2,0,-9,-28
1582297428376083,-26,0,1,1,-1,-1,-2,-31
1582297428376083,5,1,3,2,-1,1,1,-13
1582297428379125,-13,-7,-1,-2,-2,0,-10,-10
1582297428379125,-8,-3,-3,-2,-2,-2,-9,-35
1582297428380072,18,3,-1,0,-2,-1,4,10
1582297428380072,-7,-1,0,-3,1,0,1,2
1582297428387875,-5,-2,-2,-1,1,0,8,9
1582297428387875,2,-1,-1,-3,-3,0,3,11
1582297428394040,-2,-3,-5,-15,-3,-2,-4,-1
1582297428394040,2,2,2,-2,0,1,0,2
1582297428418027,0,-2,2,17,2,0,0,-6
1582297428418027,-4,-2,4,-1,2,0,2,-9
1582297428419413,4,-2,-1,0,1,-2,-2,18
1582297428419413,-2,-1,-7,-12,0,0,-2,-15
1582297428424960,9,5,1,-4,-1,2,21,58
1582297428424960,-18,-8,-4,-3,-5,-5,-14,-43
1582297428449124,1,-3,-2,-3,-2,0,-3,7
1582297428449124,-1,-4,-2,7,-1,-2,-12,-1
1582297428450419,-2,0,1,-2,1,-2,-15,6
1582297428450419,3,3,-2,1,2,2,-2,24
1582297428460904,1,1,-1,2,0,0,-4,-2
1582297428460904,3,6,4,5,-2,-7,-4,4
1582297428469842,-4,-2,0,-4,-2,-1,0,-25
1582297428469842,-2,-2,-1,-4,-1,2,11,14
1582297428485283,12,-1,-1,3,-1,0,-1,8
1582297428485283,-7,-5,-1,0,-1,2,4,-12
1582297428486787,-16,-2,-3,-5,-3,-1,-4,-26
1582297428486787,4,0,0,3,1,-1,0,11
1582297428507913,0,-2,-1,2,0,-1,1,11
1582297428507913,3,-1,-1,0,-1,-1,1,9
1582297428509323,-4,-4,-4,-6,-2,-3,-4,-13
1582297428509323,4,1,-1,0,-2,-1,-2,13
1582297428521141,-5,-2,2,2,1,-2,1,-13
1582297428521141,1,1,0,-2,-2,-1,1,2
1582297428530672,-3,-2,-4,-2,-1,-3,-5,-13
1582297428530672,1,-4,-3,-1,-1,-2,3,8
1582297428545690,-2,1,-2,1,0,0,3,-7
1582297428545690,-1,0,0,-2,-2,-1,-4,0
1582297428546638,0,-3,0,0,-3,-1,-3,3
1582297428546638,1,-1,1,1,-3,-2,0,6
1582297428567790,-1,0,0,1,0,-1,-1,-8
1582297428567790,-3,-4,-2,-1,-1,-1,-1,-1
1582297428569572,1,0,0,-2,-1,0,-3,-2
1582297428569572,1,1,0,0,0,-1,2,1
1582297428590519,-3,-1,-1,-1,-2,-1,-3,-8
1582297428590519,0,-1,-1,-1,-2,-2,-1,3
1582297428591515,2,-2,0,-1,-1,-1,-5,0
1582297428591515,1,0,0,-1,-2,-1,0,0
1582297428604797,-1,0,-1,-1,-1,-1,0,-1
1582297428604797,1,-1,-3,-1,-1,-2,3,0
1582297428611527,0,-1,-2,-1,-1,0,-2,-1
1582297428611527,0,1,-4,0,-1,0,1,1
1582297428627691,-2,3,2,0,-1,1,1,-3
1582297428627691,0,-3,-1,-1,-2,0,0,0
1582297428629407,0,-1,0,-2,-2,-3,-2,-4
1582297428629407,1,1,1,-1,0,-3,2,0
