timestamp,x,y,z,w
1582297428085858,-0.759094,0.461792,0.248474,-0.385803
1582297428109800,-0.768372,0.440308,0.241455,-0.396729
1582297428125998,-0.775879,0.419556,0.234558,-0.408691
1582297428146724,-0.780823,0.400391,0.227295,-0.422363
1582297428169635,-0.783142,0.382935,0.216858,-0.439392
1582297428184594,-0.783264,0.366943,0.203125,-0.458862
1582297428206619,-0.781311,0.351013,0.187988,-0.480713
1582297428252456,-0.777588,0.33844,0.167664,-0.502686
1582297428252456,-0.77002,0.328369,0.144104,-0.52771
1582297428267420,-0.758301,0.320618,0.116028,-0.555664
1582297428290487,-0.744385,0.316223,0.0831909,-0.582275
1582297428305483,-0.732056,0.316345,0.0507813,-0.601318
1582297428335339,-0.72345,0.322021,0.0203247,-0.610352
1582297428374087,-0.717712,0.335449,-0.0127563,-0.610168
1582297428374087,-0.707031,0.352051,-0.0513306,-0.611206
1582297428387088,-0.689514,0.36615,-0.0982056,-0.617188
1582297428418027,-0.667053,0.37854,-0.142029,-0.625793
1582297428424960,-0.646118,0.396973,-0.175537,-0.627869
1582297428449886,-0.646362,0.395081,-0.182007,-0.626953
1582297428469842,-0.659302,0.398499,-0.174072,-0.613403
1582297428485794,-0.662109,0.394165,-0.162354,-0.616394
1582297428508743,-0.66333,0.386536,-0.147949,-0.623474
1582297428530672,-0.661499,0.381531,-0.141479,-0.630066
1582297428545871,-0.654236,0.380798,-0.139648,-0.638367
1582297428568580,-0.646118,0.384766,-0.141968,-0.643799
1582297428590519,-0.642639,0.389343,-0.144287,-0.643921
1582297428605528,-0.643555,0.392029,-0.145508,-0.641052
1582297428628470,-0.645935,0.391907,-0.145874,-0.638733
1582297428651348,-0.646912,0.390564,-0.145935,-0.63855
1582297428665318,-0.644592,0.389954,-0.145752,-0.641235
1582297428694236,-0.642456,0.389221,-0.145203,-0.643921
1582297428711193,-0.642578,0.388733,-0.145386,-0.644104
1582297428725156,-0.642944,0.388489,-0.145691,-0.64386
1582297428751203,-0.643311,0.387756,-0.145813,-0.64386
1582297428764052,-0.643494,0.387085,-0.145691,-0.644165
1582297428784998,-0.643311,0.387329,-0.145996,-0.644104
1582297428807129,-0.645752,0.386597,-0.14447,-0.642456
1582297428821314,-0.640869,0.384155,-0.147461,-0.648132
1582297428844830,-0.637878,0.383606,-0.14978,-0.650818
1582297428867204,-0.641907,0.384583,-0.148071,-0.646667
1582297428880784,-0.648926,0.384766,-0.143921,-0.640503
1582297428904866,-0.650146,0.382935,-0.1427,-0.640625
1582297428926808,-0.644409,0.380798,-0.146423,-0.64679
1582297428941631,-0.645142,0.381653,-0.147705,-0.645325
1582297428964659,-0.645569,0.381958,-0.147705,-0.644653
1582297428987489,-0.645813,0.381836,-0.147888,-0.644409
1582297429001612,-0.646057,0.381592,-0.147827,-0.644348
1582297429024578,-0.646179,0.381287,-0.147888,-0.644409
1582297429047492,-0.646179,0.381226,-0.147827,-0.64447
1582297429061258,-0.647644,0.381714,-0.146606,-0.643005
1582297429092241,-0.643433,0.381287,-0.149719,-0.646729
1582297429107299,-0.646362,0.380737,-0.147095,-0.644714
1582297429121091,-0.64856,0.378296,-0.144531,-0.644592
1582297429145027,-0.647827,0.378174,-0.145081,-0.645264
1582297429167177,-0.647827,0.377869,-0.144897,-0.645447
1582297429181930,-0.647827,0.377869,-0.144836,-0.645447
1582297429204979,-0.647888,0.377808,-0.144836,-0.645386
1582297429226988,-0.647949,0.377808,-0.144775,-0.645386
1582297429241774,-0.647949,0.377747,-0.144714,-0.645447
1582297429265152,-0.647949,0.377747,-0.144653,-0.645447
1582297429286910,-0.647949,0.377563,-0.144348,-0.64563
1582297429301751,-0.647949,0.377502,-0.144348,-0.645691
1582297429324770,-0.647949,0.377502,-0.144287,-0.645691
1582297429347033,-0.647888,0.377319,-0.144043,-0.645935
1582297429362453,-0.647949,0.377197,-0.143616,-0.645996
1582297429385440,-0.64801,0.377136,-0.143555,-0.645996
1582297429407731,-0.64801,0.377136,-0.143494,-0.645996
1582297429422694,-0.64801,0.377075,-0.143494,-0.645996
1582297429446221,-0.64801,0.377014,-0.143127,-0.646179
1582297429467234,-0.64801,0.376953,-0.142761,-0.646301
1582297429483123,-0.648071,0.376953,-0.142395,-0.646301
1582297429506128,-0.648132,0.376953,-0.142029,-0.646301
1582297429534169,-0.648132,0.376892,-0.142029,-0.646301
1582297429543157,-0.648132,0.376953,-0.141663,-0.646362
1582297429565948,-0.648315,0.377014,-0.141479,-0.646179
1582297429587304,-0.64856,0.377014,-0.141296,-0.645996
1582297429602865,-0.648743,0.377075,-0.140808,-0.645874
1582297429625753,-0.648804,0.37738,-0.140198,-0.645813
1582297429655669,-0.648804,0.377869,-0.139404,-0.645691
1582297429670626,-0.648682,0.378723,-0.137878,-0.645691
1582297429693562,-0.648621,0.378906,-0.134155,-0.646362
1582297429715502,-0.647278,0.379395,-0.129211,-0.648438
1582297429730463,-0.65033,0.381653,-0.126282,-0.644592
